,original_title,imdb_id
65,Lawnmower-Man-Beyond-Cyberspace,0116839
66,Two-Bits,0114753
67,Gazon-maudit,0113149
68,Friday,0113118
69,From-Dusk-Till-Dawn,0116367
70,Fair-Game,0113010
71,Kicking-and-Screaming,0113537
72,Les-misérables,0113828
73,Bed-of-Roses,0115644
74,Big-Bully,0115676
75,Screamers,0114367
76,Nico-Icon,0113973
77,The-Crossing-Guard,0112744
78,The-Juror,0116731
79,بادکنک-سفید,0112445
80,Things-to-Do-in-Denver-When-Youre-Dead,0114660
81,Antonia,0112379
82,Once-Upon-a-Time-When-We-Were-Colored,0114039
83,Last-Summer-in-the-Hamptons,0113612
84,Angels-and-Insects,0112365
85,White-Squall,0118158
86,Dunston-Checks-In,0116151
87,Black-Sheep,0115697
88,Nick-of-Time,0113972
89,The-Journey-of-August-King,0113490
90,Mary-Reilly,0117002
91,Vampire-in-Brooklyn,0114825
92,Beautiful-Girls,0115639
93,Broken-Arrow,0115759
94,A-Midwinters-Tale,0113403
95,La-Haine,0113247
96,Shopping,0111173
97,Heidi-Fleiss-Hollywood-Madam,0113283
98,City-Hall,0115907
99,Bottle-Rocket,0115734
100,Mr-Wrong,0117102
101,Unforgettable,0118040
102,Happy-Gilmore,0116483
103,The-Bridges-of-Madison-County,0112579
104,Keiner-liebt-mich,0110251
105,Muppet-Treasure-Island,0117110
106,Catwalk,0112646
107,Headless-Body-in-Topless-Bar,0113276
108,Braveheart,0112573
109,Taxi-Driver,0075314
110,紅番區,0113326
111,Before-and-After,0115645
112,Margarets-Museum,0113774
113,Le-Bonheur-est-dans-le-pré,0112556
114,Anne-Frank-Remembered,0112373
115,The-Young-Poisoners-Handbook,0115033
116,If-Lucy-Fell,0116606
117,Steal-Big-Steal-Little,0114536
118,Race-the-Sun,0117427
119,The-Boys-of-St-Vincent,0106473
120,Boomerang,0103859
121,重慶森林,0109424
122,Luomo-delle-stelle,0114808
123,Flirting-with-Disaster,0116324
124,The-NeverEnding-Story-III,0110647
125,صمت-القصور,0111055
126,Jupiters-Wife,0110217
127,Pie-in-the-Sky,0114131
128,Angela,0112364
129,Frankie-Starlight,0113107
130,Jade,0113451
131,Nueba-Yol,0114015
132,Sonic-Outlaws,0114500
133,Down-Periscope,0116130
134,From-the-Journals-of-Jean-Seberg,0113125
135,Man-of-the-Year,0113756
136,The-Neon-Bible,0113952
137,Target,0114618
138,Up-Close-Personal,0118055
139,The-Birdcage,0115685
140,Gospa,0113200
141,The-Brothers-McMullen,0112585
142,Bad-Boys,0112442
143,The-Amazing-Panda-Adventure,0112342
144,The-Basketball-Diaries,0112461
145,An-Awfully-Big-Adventure,0112427
146,Amateur,0109093
147,Apollo,0112384
148,Rob-Roy,0114287
149,The-Addiction,0112288
150,Batman-Forever,0112462
151,Belle-de-jour,0061395
152,Beyond-Rangoon,0112495
153,Blue-in-the-Face,0112541
154,Canadian-Bacon,0109370
155,Casper,0112642
156,Clockers,0112688
157,Congo,0112715
158,Crimson-Tide,0112740
159,Crumb,0109508
160,Desperado,0112851
161,Devil-in-a-Blue-Dress,0112857
162,Die-Hard-With-a-Vengeance,0112864
163,The-Doom-Generation,0112887
164,Feast-of-July,0113044
165,First-Knight,0113071
166,Free-Willy-The-Adventure-Home,0113114
167,Hackers,0113243
168,Jeffrey,0113464
169,Johnny-Mnemonic,0113481
170,Judge-Dredd,0113492
171,Jury-Duty,0113500
172,Kids,0113540
173,Living-in-Oblivion,0113677
174,Lord-of-Illusions,0113690
175,Love-Human-Remains,0107447
176,Mad-Love,0113729
177,Mallrats,0113749
178,Mighty-Morphin-Power-Rangers-The-Movie,0113820
179,Moonlight-and-Valentino,0113851
180,Mute-Witness,0110604
181,Nadja,0110620
182,The-Net,0113957
183,Nine-Months,0113986
184,Party-Girl,0114095
185,The-Prophecy,0114194
186,Reckless,0114241
187,Safe,0114323
188,The-Scarlet-Letter,0114345
189,The-Show,0114435
190,Showgirls,0114436
191,Smoke,0114478
192,Something-to-Talk-About,0114496
193,Species,0114508
194,The-Stars-Fell-on-Henrietta,0114534
195,Strange-Days,0114558
196,Les-parapluies-de-Cherbourg,0058450
197,The-Tie-That-Binds,0114666
198,Three-Wishes,0114663
199,Total-Eclipse,0114702
200,To-Wong-Foo-Thanks-for-Everything-Julie-Newmar,0114682
201,Under-Siege-Dark-Territory,0114781
202,Unstrung-Heroes,0114798
203,Unzipped,0114805
204,A-Walk-in-the-Clouds,0114887
205,Waterworld,0114898
206,White-Mans-Burden,0114928
207,Wild-Bill,0114938
208,The-Browning-Version,0109340
209,Bushwhacked,0112602
210,Утомлённые-солнцем,0111579
211,Before-the-Rain,0110882
212,Before-Sunrise,0112471
213,Billy-Madison,0112508
214,The-Babysitter,0112438
215,Boys-on-the-Side,0112571
216,The-Cure,0112757
217,Castle-Freak,0112643
218,Circle-of-Friends,0112679
219,Clerks,0109445
220,Don-Juan-DeMarco,0112883
221,Disclosure,0109635
222,Dream-Man,0112899
223,Drop-Zone,0109676
224,Destiny-Turns-on-the-Radio,0112854
225,Death-and-the-Maiden,0109579
226,Dolores-Claiborne,0109642
227,Dumb-and-Dumber,0109686
228,飲食男女,0111797
229,Exotica,0109759
230,Exit-to-Eden,0109758
231,Ed-Wood,0109707
232,French-Kiss,0113117
233,Forget-Paris,0113097
234,Far-from-Home-The-Adventures-of-Yellow-Dog,0113028
235,A-Goofy-Movie,0113198
236,Hideaway,0113303
237,Fluke,0113089
238,Farinelli,0109771
239,Gordy,0113199
240,Gumby-The-Movie,0113234
241,The-Glass-Shield,0109906
242,Hoop-Dreams,0110057
243,Heavenly-Creatures,0110005
244,Houseguest,0110066
245,Immortal-Beloved,0110116
246,Heavyweights,0110006
247,The-Hunted,0113360
248,IQ,0110099
249,Interview-with-the-Vampire,0110148
250,Jefferson-in-Paris,0113463
251,The-Jerky-Boys,0110189
252,Junior,0110216
253,Just-Cause,0113501
254,A-Kid-in-King-Arthurs-Court,0113538
255,Kiss-of-Death,0113552
256,Star-Wars,0076759
257,Little-Women,0110367
258,A-Little-Princess,0113670
259,Ladybird-Ladybird,0110296
260,LEnfer,0109731
261,Como-agua-para-chocolate,0103994
262,Legends-of-the-Fall,0110322
263,Major-Payne,0110443
264,Little-Odessa,0110365
265,Mi-Vida-Loca,0107566
266,Love-Affair,0110391
267,Losing-Isaiah,0113691
268,The-Madness-of-King-George,0110428
269,Frankenstein,0109836
270,Man-of-the-House,0113755
271,Mixed-Nuts,0110538
272,Milk-Money,0110516
273,Miracle-on-th-Street,0110527
274,Miami-Rhapsody,0113808
275,My-Family,0113896
276,Murder-in-the-First,0113870
277,Nobodys-Fool,0110684
278,Nell,0110638
279,New-Jersey-Drive,0113967
280,New-York-Cop,0117169
281,Beyond-Bedlam,0106402
282,Nemesis-Nebula,0113948
283,Nina-Takes-a-Lover,0110671
284,Natural-Born-Killers,0110632
285,Only-You,0110737
286,Once-Were-Warriors,0110729
287,Poison-Ivy-II-Lily,0114151
288,Outbreak,0114069
289,Léon,0110413
290,The-Perez-Family,0114113
291,A-Pyromaniacs-Love-Story,0114210
292,Pulp-Fiction,0110912
293,Panther,0114084
294,Pushing-Hands,0105652
295,Priest,0110889
296,Quiz-Show,0110932
297,Picture-Bride,0114129
298,La-Reine-Margot,0110963
299,The-Quick-and-the-Dead,0114214
300,Roommates,0114296
301,PrêtàPorter,0110907
302,Trois-couleurs-Rouge,0111495
303,Trois-couleurs-Bleu,0108394
304,Trois-couleurs-Blanc,0111507
305,Pao-Da-Shuang-Deng,0110769
306,RentaKid,0114268
307,Relative-Fear,0110965
308,Stuart-Saves-His-Family,0114571
309,The-Swan-Princess,0111333
310,The-Secret-of-Roan-Inish,0111112
311,The-Specialist,0111255
312,Stargate,0111282
313,The-Santa-Clause,0111070
314,The-Shawshank-Redemption,0111161
315,Shallow-Grave,0111149
316,Suture,0108260
317,Fresa-y-chocolate,0106966
318,Swimming-with-Sharks,0114594
319,The-Sum-of-Us,0111309
320,Senior-Trip,0113936
321,活着,0110081
322,Tank-Girl,0114614
323,Tales-from-the-Crypt-Demon-Knight,0114608
324,Star-Trek-Generations,0111280
325,Tales-from-the-Hood,0114609
326,Tom-Viv,0111454
327,Village-of-the-Damned,0114852
328,Tommy-Boy,0114694
329,Vanya-on-nd-Street,0111590
330,The-Underneath,0114788
331,The-Walking-Dead,0114888
332,Whats-Eating-Gilbert-Grape,0108550
333,Virtuosity,0114857
334,While-You-Were-Sleeping,0114924
335,The-War,0111667
336,Double-Happiness,0109655
337,Muriels-Wedding,0110598
338,The-BabySitters-Club,0112435
339,Ace-Ventura-Pet-Detective,0109040
340,The-Adventures-of-Priscilla-Queen-of-the-Desert,0109045
341,Backbeat,0106339
342,Bitter-Moon,0104779
343,Bullets-Over-Broadway,0109348
344,Clear-and-Present-Danger,0109444
345,The-Client,0109446
346,Corrina-Corrina,0109484
347,Crooklyn,0109504
348,The-Crow,0109506
349,Cobb,0109450
350,The-Flintstones,0109813
351,Forrest-Gump,0109830
352,Four-Weddings-and-a-Funeral,0109831
353,Higher-Learning,0113305
354,I-Like-It-Like-That,0110091
355,I-Love-Trouble,0110093
356,It-Could-Happen-to-You,0110167
357,The-Jungle-Book,0110213
358,Die-Macht-der-Bilder-Leni-Riefenstahl,0107472
359,The-Lion-King,0110357
360,Little-Buddha,0107426
361,New-Nightmare,0111686
362,The-Mask,0110475
363,Maverick,0110478
364,Mrs-Parker-and-the-Vicious-Circle,0110588
365,The-Naked-Gun-The-Final-Insult,0110622
366,The-Paper,0110771
367,Reality-Bites,0110950
368,Red-Rock-West,0105226
369,Rihie-Rih,0110989
370,Safe-Passage,0111054
371,The-River-Wild,0110997
372,Speed,0111257
373,Speechless,0111256
374,Timecop,0111438
375,True-Lies,0111503
376,When-a-Man-Loves-a-Woman,0111693
377,Wolf,0111742
378,Wyatt-Earp,0111756
379,Bad-Company,0112443
380,A-Man-of-No-Importance,0110455
381,SFW,0111048
382,A-Low-Down-Dirty-Shame,0110399
383,Boys-Life-Three-Stories-of-Love-Lust-and-Liberation,0112570
384,Le-colonel-Chabert,0109454
385,Faster-Pussycat-Kill-Kill,0059170
386,Jasons-Lyric,0110186
387,The-Secret-Adventures-of-Tom-Thumb,0108069
388,Street-Fighter,0111301
389,Coldblooded,0112702
390,Desert-Winds,0112849
391,Fall-Time,0113014
392,The-Fear,0113043
393,Frank-and-Ollie,0113104
394,Girl-in-the-Cadillac,0113173
395,Homage,0113319
396,Mirage,0113827
397,Open-Season,0114047
398,Dos-Crímenes,0112889
399,Brother-Minister-The-Assassination-of-Malcolm-X,0109339
400,Highlander-III-The-Sorcerer,0110027
401,Federal-Hill,0109785
402,In-the-Mouth-of-Madness,0113409
403,Seconds,0109021
404,Above-the-Rim,0109035
405,Addams-Family-Values,0106220
406,Martin-Lawrence-You-So-Crazy,0111804
407,The-Age-of-Innocence,0106226
408,Airheads,0109068
409,The-Air-Up-There,0109067
410,Another-Stakeout,0106292
411,Bad-Girls,0109198
412,Barcelona,0109219
413,Being-Human,0106379
414,The-Beverly-Hillbillies,0106400
415,Beverly-Hills-Cop-III,0109254
416,Black-Beauty,0109279
417,Blink,0109297
418,Blown-Away,0109303
419,Blue-Chips,0109305
420,Blue-Sky,0109306
421,Body-Snatchers,0106452
422,Boxing-Helena,0106471
423,A-Bronx-Tale,0106489
424,Cabin-Boy,0109361
425,Calendar-Girl,0106505
426,Carlitos-Way,0106519
427,City-Slickers-II-The-Legend-of-Curlys-Gold,0109439
428,Clean-Slate,0109443
429,Cliffhanger,0106582
430,Coneheads,0106598
431,Color-of-Night,0109456
432,Cops-Robbersons,0109480
433,The-Cowboy-Way,0109493
434,Dangerous-Game,0106660
435,Dave,0106673
436,Dazed-and-Confused,0106677
437,Demolition-Man,0106697
438,The-Endless-Summer,0109729
439,Even-Cowgirls-Get-the-Blues,0106834
440,Fatal-Instinct,0106873
441,霸王别姬,0106332
442,The-Favor,0109783
443,Fearless,0106881
444,Fear-of-a-Black-Hat,0106880
445,With-Honors,0111732
446,Flesh-and-Bone,0106926
447,Widows-Peak,0111712
448,For-Love-or-Money,0106941
449,The-Firm,0106918
450,Free-Willy,0106965
451,Fresh,0109842
452,The-Fugitive,0106977
453,Geronimo-An-American-Legend,0107004
454,The-Getaway,0109890
455,Getting-Even-with-Dad,0109891
456,Go-Fish,0109913
457,A-Good-Man-in-Africa,0109920
458,Guilty-as-Sin,0107057
459,Hard-Target,0107076
460,Heaven-Earth,0107096
461,Hot-Shots-Part-Deux,0107144
462,Live-Nude-Girls,0113674
463,The-Englishman-Who-Went-Up-a-Hill-But-Came-Down-a-Mountain,0112966
464,The-House-of-the-Spirits,0107151
465,House-Party,0110064
466,The-Hudsucker-Proxy,0110074
467,Ill-Do-Anything,0110097
468,In-the-Army-Now,0110123
469,In-the-Line-of-Fire,0107206
470,In-the-Name-of-the-Father,0107207
471,The-Inkwell,0110137
472,Whats-Love-Got-to-Do-with-It,0108551
473,Jimmy-Hollywood,0110197
474,Judgment-Night,0107286
475,Jurassic-Park,0107290
476,Kalifornia,0107302
477,Killing-Zoe,0110265
478,King-of-the-Hill,0107322
479,Lassie,0110305
480,Last-Action-Hero,0107362
481,Life-With-Mikey,0107413
482,Lightning-Jack,0110353
483,M-Butterfly,0107468
484,Made-in-America,0107478
485,Malice,0107497
486,The-Man-without-a-Face,0107501
487,Manhattan-Murder-Mystery,0107507
488,Menace-II-Society,0107554
489,Executive-Decision,0116253
490,愛のコリーダ,0074102
491,What-Happened-Was,0111689
492,Much-Ado-About-Nothing,0107616
493,Mr-Jones,0107611
494,Mr-Wonderful,0107613
495,Mrs-Doubtfire,0107614
496,Naked,0107653
497,The-Next-Karate-Kid,0110657
498,The-New-Age,0110649
499,No-Escape,0110678
500,North,0110687
501,Orlando,0107756
502,A-Perfect-World,0107808
503,Philadelphia,0107818
504,The-Piano,0107822
505,Poetic-Justice,0107840
506,The-Program,0107889
507,The-Puppet-Masters,0111003
508,Radioland-Murders,0110939
509,The-Ref,0110955
510,The-Remains-of-the-Day,0107943
511,Renaissance-Man,0110971
512,Rising-Sun,0107969
513,The-Road-to-Wellville,0111001
514,RoboCop,0107978
515,Robin-Hood-Men-in-Tights,0107977
516,Romeo-Is-Bleeding,0107983
517,Romper-Stomper,0105275
518,Ruby-in-Paradise,0108000
519,Rudy,0108002
520,The-Saint-of-Fort-Washington,0108026
521,Les-Nuits-Fauves,0105032
522,Schindlers-List,0108052
523,The-Scout,0111094
524,Searching-for-Bobby-Fischer,0108065
525,Second-Best,0111102
526,The-Secret-Garden,0108071
527,Serial-Mom,0111127
528,The-Shadow,0111143
529,Shadowlands,0108101
530,Short-Cuts,0108122
531,A-Simple-Twist-of-Fate,0111194
532,Sirens,0111201
533,Six-Degrees-of-Separation,0108149
534,Sleepless-in-Seattle,0108160
535,Sliver,0108162
536,Blade-Runner,0083658
537,Son-in-Law,0108186
538,So-I-Married-an-Axe-Murderer,0108174
539,Striking-Distance,0108238
540,Harem,0089256
541,Super-Mario-Bros,0108255
542,Surviving-the-Game,0111323
543,Terminal-Velocity,0111400
544,Thirty-Two-Short-Films-About-Glenn-Gould,0108328
545,Threesome,0111418
546,The-Nightmare-Before-Christmas,0107688
547,The-Three-Musketeers,0108333
548,Tombstone,0108358
549,Trial-by-Jury,0111488
550,True-Romance,0108399
551,The-War-Room,0108515
552,The-Pagemaster,0110763
553,Paris-France,0107779
554,The-Beans-of-Egypt-Maine,0109226
555,Killer,0110259
556,Welcome-to-the-Dollhouse,0114906
557,Germinal,0107002
558,Chasers,0109403
559,Cronos,0104029
560,Naked-in-New-York,0110623
561,Kika,0107315
562,Bhaji-on-the-Beach,0106408
563,Little-Big-League,0110363
564,Kådisbellan,0107349
565,Wide-Eyed-and-Legless,0111709
566,Foreign-Student,0109828
567,Io-speriamo-che-me-la-cavo,0107225
568,Spanking-the-Monkey,0111252
569,The-Little-Rascals,0110366
570,À-la-mode,0106878
571,Andre,0109120
572,La-scorta,0108059
573,Princess-Caraboo,0110892
574,The-Celluloid-Closet,0112651
575,Métisse,0107642
576,Caro-diario,0109382
577,De-eso-no-se-habla,0106678
578,The-Brady-Bunch-Movie,0112572
579,Home-Alone,0099785
580,Ghost,0099653
581,Aladdin,0103639
582,Terminator-Judgment-Day,0103064
583,Dances-with-Wolves,0099348
584,Tough-and-Deadly,0114706
585,Batman,0096895
586,The-Silence-of-the-Lambs,0102926
587,Snow-White-and-the-Seven-Dwarfs,0029583
588,Beauty-and-the-Beast,0101414
589,Pinocchio,0032910
590,Pretty-Woman,0100405
591,Окно-в-Париж,0110719
592,The-Wild-Bunch,0065214
593,Love-and-a,0110395
594,The-Wooden-Mans-Bride,0111752
595,A-Great-Day-in-Harlem,0109934
596,Bye-Bye-Love,0112606
597,One-Fine-Day,0117247
598,Candyman-Farewell-to-the-Flesh,0112625
599,Century,0106537
600,Fargo,0116282
601,Homeward-Bound-II-Lost-in-San-Francisco,0116552
602,Heavy-Metal,0082509
603,Hellraiser-Bloodline,0116514
604,The-Pallbearer,0117283
605,Jane-Eyre,0116684
606,Loaded,0110374
607,Pane-e-cioccolata,0070506
608,The-Aristocats,0065421
609,La-flor-de-mi-secreto,0113083
610,Two-Much,0118001
611,Ed,0116165
612,Schrei-aus-Stein,0102855
613,Ma-saison-préférée,0107471
614,A-Modern-Affair,0113839
615,Condition-Red,0112712
616,Asfour-Stah,0090665
617,A-Thin-Line-Between-Love-and-Hate,0117891
618,The-Last-Supper,0113613
619,Primal-Fear,0117381
620,Rude,0114305
621,Carried-Away,0115837
622,All-Dogs-Go-to-Heaven,0115509
623,Land-and-Freedom,0114671
624,Denise-Calls-Up,0112844
625,Theodore-Rex,0114658
626,A-Family-Thing,0116275
627,Frisk,0113122
628,Sgt-Bilko,0117608
629,Jack-Sarah,0113448
630,Girl,0116414
631,Diabolique,0116095
632,Un-indien-dans-la-ville,0111543
633,Roula-Dunkle-Geheimnisse,0117517
634,Peanuts-Die-Bank-zahlt-alles,0117312
635,Happy-Weekend,0116485
636,Nelly-Monsieur-Arnaud,0113947
637,Courage-Under-Fire,0115956
638,Mission-Impossible,0117060
639,Á-köldum-klaka,0109028
640,Moll-Flanders,0117071
641,Das-Superweib,0117788
642,삼공일-삼공이,0112257
643,DragonHeart,0116136
644,Und-keiner-weint-mir-nach,0118026
645,My-Mothers-Courage,0117117
646,Eddie,0116168
647,Yankee-Zulu,0111787
648,Billys-Holiday,0112509
649,Plein-soleil,0054189
650,August,0115591
651,James-and-the-Giant-Peach,0116683
652,Fear,0116287
653,Kids-in-the-Hall-Brain-Candy,0116768
654,Faithful,0116269
655,Podzemlje,0114787
656,Lust-och-fägring-stor,0113720
657,Bloodsport-II,0112536
658,পথর-পচল,0048473
659,অপর-সসর,0052572
660,Mystery-Science-Theater-The-Movie,0117128
661,Tarantella,0114616
662,Space-Jam,0117705
663,Barbarella,0062711
664,Hostile-Intentions,0110061
665,They-Bite,0140614
666,Some-Folks-Call-It-a-Sling-Blade,0108181
667,The-Run-of-the-Country,0114307
668,Alphaville-une-étrange-aventure-de-Lemmy-Caution,0058898
669,Coup-de-torchon,0082206
670,Tigrero-A-Film-That-Was-Never-Made,0111430
671,Loeil-de-Vichy,0107727
672,Windows,0081759
673,Its-My-Party,0113443
674,Country-Life,0109491
675,Operation-Dumbo-Drop,0114048
676,Das-Versprechen,0111613
677,Mrs-Winterbourne,0117104
678,Solo,0117688
679,Etz-Hadomim-Tafus,0109751
680,The-Substitute,0117774
681,True-Crime,0114736
682,Butterfly-Kiss,0112604
683,Feeling-Minnesota,0116289
684,Delta-of-Venus,0109593
685,To-Cross-the-Rubicon,0103095
686,Angus,0112368
687,Daens,0104046
688,Faces,0062952
689,Boys,0115742
690,The-Quest,0117420
691,Cosi,0115951
692,Sunset-Park,0117784
693,Mulholland-Falls,0117107
694,The-Truth-About-Cats-Dogs,0117979
695,Oliver-Company,0095776
696,Celtic-Pride,0115851
697,Flipper,0116322
698,Captives,0109374
699,Of-Love-and-Shadows,0110712
700,Dead-Man,0112817
701,Le-Hussard-sur-le-toit,0113362
702,Switchblade-Sisters,0073778
703,Boca-a-boca,0112546
704,Les-visiteurs,0108500
705,Multiplicity,0117108
706,The-Haunted-World-of-Edward-D-Wood-Jr,0113270
707,Due-Amici,0333373
708,The-Craft,0115963
709,The-Great-White-Hype,0116448
710,Last-Dance,0116827
711,War-Stories-Our-Mother-Never-Told-Us,0114894
712,Cold-Comfort-Farm,0112701
713,Institute-Benjamenta-or-This-Dream-People-Call-Human-Life,0113429
714,Heavens-Prisoners,0116508
715,Original-Gangstas,0117260
716,The-Rock,0117500
717,Getting-Away-with-Murder,0116405
718,Dellamorte-Dellamore,0109592
719,Twister,0117998
720,Barb-Wire,0115624
721,Le-garçu,0113145
722,Honigmond,0116559
723,GHOST-IN-THE-SHELL,0113568
724,Thinner,0117894
725,Spy-Hard,0117723
726,Brothers-in-Trouble,0112586
727,A-Close-Shave,0112691
728,Force-of-Evil,0040366
729,The-Stupids,0117768
730,The-Arrival,0115571
731,The-Man-from-Down-Under,0031612
732,Dr-Strangelove-or-How-I-Learned-to-Stop-Worrying-and-Love-the-Bomb,0057012
733,Careful,0103926
734,Vermont-Is-for-Lovers,0105737
735,A-Month-by-the-Lake,0113849
736,Gold-Diggers-The-Secret-of-Bear-Mountain,0113188
737,Kim,0042644
738,Carmen-Miranda-Bananas-Is-My-Business,0109381
739,東邪西毒,0109688
740,Khomreh,0104606
741,Maya-Lin-A-Strong-Clear-Vision,0110480
742,Stalingrad,0108211
743,The-Phantom,0117331
744,Striptease,0117765
745,The-Last-of-the-High-Kings,0116833
746,Heavy,0113280
747,Jack,0116669
748,I-Shot-Andy-Warhol,0116594
749,The-Grass-Harp,0113211
750,Tuđa-Amerika,0114494
751,La-vie-est-belle,0094265
752,Quartier-Mozart,0105201
753,ToukiBouki,0070820
754,Wend-Kuuni,0084898
755,Histoires-extraordinaires,0063715
756,Babyfever,0109191
757,Pharaohs-Army,0114122
758,Trainspotting,0117951
759,Til-There-Was-You,0118523
760,Independence-Day,0116629
761,Stealing-Beauty,0117737
762,The-Fan,0116277
763,The-Hunchback-of-Notre-Dame,0116583
764,The-Cable-Guy,0115798
765,Kingpin,0116778
766,Eraser,0116213
767,The-Gate-of-Heavenly-Peace,0113147
768,The-Nutty-Professor,0117218
769,Yo-la-peor-de-todas,0100990
770,Un-été-inoubliable,0111546
771,Hol-volt-hol-nem-volt,0093199
772,En-compagnie-dAntonin-Artaud,0106810
773,Sibak,0111180
774,Somebody-to-Love,0111237
775,A-Very-Natural-Thing,0072362
776,La-vieille-qui-marchait-dans-la-mer,0103207
777,Daylight,0116040
778,The-Frighteners,0116365
779,Lone-Star,0116905
780,Harriet-the-Spy,0116493
781,Phenomenon,0117333
782,Walking-and-Talking,0118113
783,Shes-the-One,0117628
784,A-Time-to-Kill,0117913
785,American-Buffalo,0115530
786,Les-Rendezvous-de-Paris,0114266
787,Alaska,0115493
788,Fled,0116320
789,Kazaam,0116756
790,Bűvös-vadász,0109356
791,Larger-Than-Life,0116823
792,A-Boy-Called-Hate,0112568
793,Power,0114170
794,Two-Deaths,0117999
795,A-Very-Brady-Sequel,0118073
796,Stefano-Quantestorie,0108220
797,La-mort-en-ce-jardin,0049521
798,Hedd-Wyn,0104403
799,La-Collectionneuse,0061495
800,Kaspar-Hauser,0110246
801,Echte-Kerle,0116164
802,Diebinnen,0112865
803,O-Convento,0112716
804,The-Adventures-of-Pinocchio,0115472
805,Joes-Apartment,0116707
806,The-First-Wives-Club,0116313
807,Stonewall,0114550
808,Ransom,0117438
809,High-School-High,0116531
810,Phat-Beach,0117332
811,Foxfire,0116353
812,Chain-Reaction,0115857
813,Matilda,0117008
814,Emma,0116191
815,The-Crow-City-of-Angels,0115986
816,House-Arrest,0116571
817,Les-Yeux-sans-visage,0053459
818,Bordello-of-Blood,0117826
819,Lotto-Land,0113695
820,The-Story-of-Xinghua,0108227
821,天國逆子,0111424
822,Flirt,0113080
823,The-Big-Squeeze,0115680
824,The-Spitfire-Grill,0117718
825,Escape-from-LA,0116225
826,Xích-lô,0112767
827,Basquiat,0115632
828,Tin-Cup,0117918
829,Dingo,0104109
830,楢山節考,0051980
831,Un-weekend-sur-deux,0100840
832,Mille-bolle-blu,0107575
833,Wuya-yu-maque,0042054
834,The-Godfather,0068646
835,Der-bewegte-Mann,0109255
836,警察故事-III超級警察,0104558
837,Manny-Lo,0116985
838,Tsuma,0046468
839,Small-Faces,0114474
840,Bound,0115736
841,Carpool,0115836
842,Death-in-Brunswick,0101692
843,Kansas-City,0116745
844,Gone-Fishin,0119214
845,Lovers-Knot,0116934
846,愛情萬歲,0109066
847,Schatten-der-Engel,0075169
848,Killer-A-Journal-of-Murder,0113542
849,Nothing-to-Lose,0110693
850,超级计划,0106544
851,Girls-Town,0116418
852,ByeBye,0112607
853,The-Relic,0120004
854,The-Island-of-Dr-Moreau,0116654
855,First-Kid,0116311
856,The-Trigger-Effect,0117965
857,Sweet-Nothing,0114592
858,Bogus,0115725
859,Bulletproof,0115783
860,Talk-of-Angels,0120271
861,The-Land-Before-Time-III-The-Time-of-the-Great-Giving,0113596
862,,0109001
863,Baton-Rouge,0094822
864,Halloween-The-Curse-of-Michael-Myers,0113253
865,Twelfth-Night,0117991
866,Mother-Night,0117093
867,Liebelei,0024252
868,Wenecja,1684935
869,Les-Roseaux-Sauvages,0111019
870,For-Whom-the-Bell-Tolls,0035896
871,The-Philadelphia-Story,0032904
872,Singin-in-the-Rain,0045152
873,An-American-in-Paris,0043278
874,Funny-Face,0050419
875,Breakfast-at-Tiffanys,0054698
876,Vertigo,0052357
877,Rear-Window,0047396
