original_title,imdb_id
Canadian Bacon,tt0109370
Casper,tt0112642
Clockers,tt0112688
Congo,tt0112715
Crimson Tide,tt0112740
Crumb,tt0109508
Desperado,tt0112851
Devil in a Blue Dress,tt0112857
Die Hard: With a Vengeance,tt0112864
The Doom Generation,tt0112887
Feast of July,tt0113044
First Knight,tt0113071
Free Willy 2 - The Adventure Home,tt0113114
Hackers,tt0113243
Jeffrey,tt0113464
Johnny Mnemonic,tt0113481
Judge Dredd,tt0113492
Jury Duty,tt0113500
Kids,tt0113540
Living in Oblivion,tt0113677
Lord of Illusions,tt0113690
Love & Human Remains,tt0107447
Mad Love,tt0113729
Mallrats,tt0113749
Mighty Morphin Power Rangers: The Movie,tt0113820
Moonlight and Valentino,tt0113851
Mute Witness,tt0110604
Nadja,tt0110620
The Net,tt0113957
Nine Months,tt0113986
Party Girl,tt0114095
The Prophecy,tt0114194
Reckless,tt0114241
Safe,tt0114323
The Scarlet Letter,tt0114345
The Show,tt0114435
Showgirls,tt0114436
Smoke,tt0114478
Something to Talk About,tt0114496
Species,tt0114508
The Stars Fell on Henrietta,tt0114534
Strange Days,tt0114558
Les parapluies de Cherbourg,tt0058450
The Tie That Binds,tt0114666
Three Wishes,tt0114663
Total Eclipse,tt0114702
"To Wong Foo, Thanks for Everything! Julie Newmar",tt0114682
Under Siege 2: Dark Territory,tt0114781
Unstrung Heroes,tt0114798
Unzipped,tt0114805
A Walk in the Clouds,tt0114887
Waterworld,tt0114898
White Man's Burden,tt0114928
Wild Bill,tt0114938
The Browning Version,tt0109340
Bushwhacked,tt0112602
Утомлённые солнцем,tt0111579
Before the Rain,tt0110882
Before Sunrise,tt0112471
Billy Madison,tt0112508
The Babysitter,tt0112438
Boys on the Side,tt0112571
The Cure,tt0112757
Castle Freak,tt0112643
Circle of Friends,tt0112679
Clerks,tt0109445
Don Juan DeMarco,tt0112883
Disclosure,tt0109635
Dream Man,tt0112899
Drop Zone,tt0109676
Destiny Turns on the Radio,tt0112854
Death and the Maiden,tt0109579
Dolores Claiborne,tt0109642
Dumb and Dumber,tt0109686
飲食男女,tt0111797
Exotica,tt0109759
Exit to Eden,tt0109758
Ed Wood,tt0109707
French Kiss,tt0113117
Forget Paris,tt0113097
Far from Home: The Adventures of Yellow Dog,tt0113028
A Goofy Movie,tt0113198
Hideaway,tt0113303
Fluke,tt0113089
Farinelli,tt0109771
Gordy,tt0113199
Gumby: The Movie,tt0113234
The Glass Shield,tt0109906
Hoop Dreams,tt0110057
Heavenly Creatures,tt0110005
Houseguest,tt0110066
Immortal Beloved,tt0110116
Heavyweights,tt0110006
The Hunted,tt0113360
I.Q.,tt0110099
Interview with the Vampire,tt0110148
Jefferson in Paris,tt0113463
The Jerky Boys,tt0110189
Junior,tt0110216
Just Cause,tt0113501
A Kid in King Arthur's Court,tt0113538
Kiss of Death,tt0113552
Star Wars,tt0076759
Little Women,tt0110367
A Little Princess,tt0113670
Ladybird Ladybird,tt0110296
L'Enfer,tt0109731
Como agua para chocolate,tt0103994
Legends of the Fall,tt0110322
Major Payne,tt0110443
Little Odessa,tt0110365
Mi Vida Loca,tt0107566
Love Affair,tt0110391
Losing Isaiah,tt0113691
The Madness of King George,tt0110428
Frankenstein,tt0109836
Man of the House,tt0113755
Mixed Nuts,tt0110538
Milk Money,tt0110516
Miracle on 34th Street,tt0110527
Miami Rhapsody,tt0113808
My Family,tt0113896
Murder in the First,tt0113870
Nobody's Fool,tt0110684
Nell,tt0110638
New Jersey Drive,tt0113967
New York Cop,tt0117169
Beyond Bedlam,tt0106402
Nemesis 2 - Nebula,tt0113948
Nina Takes a Lover,tt0110671
Natural Born Killers,tt0110632
Only You,tt0110737
Once Were Warriors,tt0110729
Poison Ivy II: Lily,tt0114151
Outbreak,tt0114069
Léon,tt0110413
The Perez Family,tt0114113
A Pyromaniac's Love Story,tt0114210
Pulp Fiction,tt0110912
Panther,tt0114084
Pushing Hands,tt0105652
Priest,tt0110889
Quiz Show,tt0110932
Picture Bride,tt0114129
La Reine Margot,tt0110963
The Quick and the Dead,tt0114214
Roommates,tt0114296
Prêt-à-Porter,tt0110907
Trois couleurs : Rouge,tt0111495
Trois couleurs : Bleu,tt0108394
Trois couleurs : Blanc,tt0111507
Pao Da Shuang Deng,tt0110769
Rent-a-Kid,tt0114268
Relative Fear,tt0110965
Stuart Saves His Family,tt0114571
The Swan Princess,tt0111333
The Secret of Roan Inish,tt0111112
The Specialist,tt0111255
Stargate,tt0111282
The Santa Clause,tt0111070
The Shawshank Redemption,tt0111161
Shallow Grave,tt0111149
Suture,tt0108260
Fresa y chocolate,tt0106966
Swimming with Sharks,tt0114594
The Sum of Us,tt0111309
Senior Trip,tt0113936
活着,tt0110081
Tank Girl,tt0114614
Tales from the Crypt: Demon Knight,tt0114608
Star Trek: Generations,tt0111280
Tales from the Hood,tt0114609
Tom & Viv,tt0111454
Village of the Damned,tt0114852
Tommy Boy,tt0114694
Vanya on 42nd Street,tt0111590
The Underneath,tt0114788
The Walking Dead,tt0114888
What's Eating Gilbert Grape,tt0108550
Virtuosity,tt0114857
While You Were Sleeping,tt0114924
The War,tt0111667
Double Happiness,tt0109655
Muriel's Wedding,tt0110598
The Baby-Sitters Club,tt0112435
Ace Ventura: Pet Detective,tt0109040
"The Adventures of Priscilla, Queen of the Desert",tt0109045
Backbeat,tt0106339
Bitter Moon,tt0104779
Bullets Over Broadway,tt0109348
Clear and Present Danger,tt0109444
The Client,tt0109446
"Corrina, Corrina",tt0109484
Crooklyn,tt0109504
The Crow,tt0109506
Cobb,tt0109450
The Flintstones,tt0109813
Forrest Gump,tt0109830
Four Weddings and a Funeral,tt0109831
Higher Learning,tt0113305
I Like It Like That,tt0110091
I Love Trouble,tt0110093
It Could Happen to You,tt0110167
The Jungle Book,tt0110213
Die Macht der Bilder: Leni Riefenstahl,tt0107472
The Lion King,tt0110357
Little Buddha,tt0107426
New Nightmare,tt0111686
The Mask,tt0110475
Maverick,tt0110478
Mrs. Parker and the Vicious Circle,tt0110588
The Naked Gun 33⅓: The Final Insult,tt0110622
The Paper,tt0110771
Reality Bites,tt0110950
Red Rock West,tt0105226
Ri¢hie Ri¢h,tt0110989
Safe Passage,tt0111054
The River Wild,tt0110997
Speed,tt0111257
Speechless,tt0111256
Timecop,tt0111438
True Lies,tt0111503
When a Man Loves a Woman,tt0111693
Wolf,tt0111742
Wyatt Earp,tt0111756
Bad Company,tt0112443
A Man of No Importance,tt0110455
S.F.W.,tt0111048
A Low Down Dirty Shame,tt0110399
"Boys Life: Three Stories of Love, Lust, and Liberation",tt0112570
Le colonel Chabert,tt0109454
"Faster, Pussycat! Kill! Kill!",tt0059170
Jason's Lyric,tt0110186
The Secret Adventures of Tom Thumb,tt0108069
Street Fighter,tt0111301
Coldblooded,tt0112702
Desert Winds,tt0112849
Fall Time,tt0113014
The Fear,tt0113043
Frank and Ollie,tt0113104
Girl in the Cadillac,tt0113173
Homage,tt0113319
Mirage,tt0113827
Open Season,tt0114047
Dos Crímenes,tt0112889
Brother Minister: The Assassination of Malcolm X,tt0109339
Highlander III: The Sorcerer,tt0110027
Federal Hill,tt0109785
In the Mouth of Madness,tt0113409
8 Seconds,tt0109021
Above the Rim,tt0109035
Addams Family Values,tt0106220
Martin Lawrence: You So Crazy,tt0111804
The Age of Innocence,tt0106226
Airheads,tt0109068
The Air Up There,tt0109067
Another Stakeout,tt0106292
Bad Girls,tt0109198
Barcelona,tt0109219
Being Human,tt0106379
The Beverly Hillbillies,tt0106400
Beverly Hills Cop III,tt0109254
Black Beauty,tt0109279
Blink,tt0109297
Blown Away,tt0109303
Blue Chips,tt0109305
Blue Sky,tt0109306
Body Snatchers,tt0106452
Boxing Helena,tt0106471
A Bronx Tale,tt0106489
Cabin Boy,tt0109361
Calendar Girl,tt0106505
Carlito's Way,tt0106519
City Slickers II: The Legend of Curly's Gold,tt0109439
Clean Slate,tt0109443
Cliffhanger,tt0106582
Coneheads,tt0106598
Color of Night,tt0109456
Cops & Robbersons,tt0109480
The Cowboy Way,tt0109493
Dangerous Game,tt0106660
Dave,tt0106673
Dazed and Confused,tt0106677
Demolition Man,tt0106697
The Endless Summer 2,tt0109729
Even Cowgirls Get the Blues,tt0106834
Fatal Instinct,tt0106873
霸王别姬,tt0106332
The Favor,tt0109783
Fearless,tt0106881
Fear of a Black Hat,tt0106880
With Honors,tt0111732
Flesh and Bone,tt0106926
Widows' Peak,tt0111712
For Love or Money,tt0106941
The Firm,tt0106918
Free Willy,tt0106965
Fresh,tt0109842
The Fugitive,tt0106977
Geronimo: An American Legend,tt0107004
The Getaway,tt0109890
Getting Even with Dad,tt0109891
Go Fish,tt0109913
A Good Man in Africa,tt0109920
Guilty as Sin,tt0107057
Hard Target,tt0107076
Heaven & Earth,tt0107096
Hot Shots! Part Deux,tt0107144
Live Nude Girls,tt0113674
The Englishman Who Went Up a Hill But Came Down a Mountain,tt0112966
The House of the Spirits,tt0107151
House Party 3,tt0110064
The Hudsucker Proxy,tt0110074
I'll Do Anything,tt0110097
In the Army Now,tt0110123
In the Line of Fire,tt0107206
In the Name of the Father,tt0107207
The Inkwell,tt0110137
What's Love Got to Do with It,tt0108551
Jimmy Hollywood,tt0110197
Judgment Night,tt0107286
Jurassic Park,tt0107290
Kalifornia,tt0107302
Killing Zoe,tt0110265
King of the Hill,tt0107322
Lassie,tt0110305
Last Action Hero,tt0107362
Life With Mikey,tt0107413
Lightning Jack,tt0110353
M. Butterfly,tt0107468
Made in America,tt0107478
Malice,tt0107497
The Man without a Face,tt0107501
Manhattan Murder Mystery,tt0107507
Menace II Society,tt0107554
Executive Decision,tt0116253
愛のコリーダ,tt0074102
What Happened Was...,tt0111689
Much Ado About Nothing,tt0107616
Mr. Jones,tt0107611
Mr. Wonderful,tt0107613
Mrs. Doubtfire,tt0107614
Naked,tt0107653
The Next Karate Kid,tt0110657
The New Age,tt0110649
No Escape,tt0110678
North,tt0110687
Orlando,tt0107756
A Perfect World,tt0107808
Philadelphia,tt0107818
The Piano,tt0107822
Poetic Justice,tt0107840
The Program,tt0107889
The Puppet Masters,tt0111003
Radioland Murders,tt0110939
The Ref,tt0110955
The Remains of the Day,tt0107943
Renaissance Man,tt0110971
Rising Sun,tt0107969
The Road to Wellville,tt0111001
RoboCop 3,tt0107978
Robin Hood: Men in Tights,tt0107977
Romeo Is Bleeding,tt0107983
Romper Stomper,tt0105275
Ruby in Paradise,tt0108000
Rudy,tt0108002
The Saint of Fort Washington,tt0108026
Les Nuits Fauves,tt0105032
Schindler's List,tt0108052
The Scout,tt0111094
Searching for Bobby Fischer,tt0108065
Second Best,tt0111102
The Secret Garden,tt0108071
Serial Mom,tt0111127
The Shadow,tt0111143
Shadowlands,tt0108101
Short Cuts,tt0108122
A Simple Twist of Fate,tt0111194
Sirens,tt0111201
Six Degrees of Separation,tt0108149
Sleepless in Seattle,tt0108160
Sliver,tt0108162
Blade Runner,tt0083658
Son in Law,tt0108186
So I Married an Axe Murderer,tt0108174
Striking Distance,tt0108238
Harem,tt0089256
Super Mario Bros.,tt0108255
Surviving the Game,tt0111323
Terminal Velocity,tt0111400
Thirty Two Short Films About Glenn Gould,tt0108328
Threesome,tt0111418
The Nightmare Before Christmas,tt0107688
The Three Musketeers,tt0108333
Tombstone,tt0108358
Trial by Jury,tt0111488
True Romance,tt0108399
The War Room,tt0108515
The Pagemaster,tt0110763
"Paris, France",tt0107779
"The Beans of Egypt, Maine",tt0109226
Killer,tt0110259
Welcome to the Dollhouse,tt0114906
Germinal,tt0107002
Chasers,tt0109403
Cronos,tt0104029
Naked in New York,tt0110623
Kika,tt0107315
Bhaji on the Beach,tt0106408
Little Big League,tt0110363
Kådisbellan,tt0107349
Wide Eyed and Legless,tt0111709
Foreign Student,tt0109828
Io speriamo che me la cavo,tt0107225
Spanking the Monkey,tt0111252
The Little Rascals,tt0110366
À la mode,tt0106878
Andre,tt0109120
La scorta,tt0108059
Princess Caraboo,tt0110892
The Celluloid Closet,tt0112651
Métisse,tt0107642
Caro diario,tt0109382
De eso no se habla,tt0106678
The Brady Bunch Movie,tt0112572
Home Alone,tt0099785
Ghost,tt0099653
Aladdin,tt0103639
Terminator 2: Judgment Day,tt0103064
Dances with Wolves,tt0099348
Tough and Deadly,tt0114706
Batman,tt0096895
The Silence of the Lambs,tt0102926
Snow White and the Seven Dwarfs,tt0029583
Beauty and the Beast,tt0101414
Pinocchio,tt0032910
Pretty Woman,tt0100405
Окно в Париж,tt0110719
The Wild Bunch,tt0065214
Love and a .45,tt0110395
The Wooden Man's Bride,tt0111752
A Great Day in Harlem,tt0109934
Bye Bye Love,tt0112606
One Fine Day,tt0117247
Candyman: Farewell to the Flesh,tt0112625
Century,tt0106537
Fargo,tt0116282
Homeward Bound II: Lost in San Francisco,tt0116552
Heavy Metal,tt0082509
Hellraiser: Bloodline,tt0116514
The Pallbearer,tt0117283
Jane Eyre,tt0116684
Loaded,tt0110374
Pane e cioccolata,tt0070506
The Aristocats,tt0065421
La flor de mi secreto,tt0113083
Two Much,tt0118001
Ed,tt0116165
Schrei aus Stein,tt0102855
Ma saison préférée,tt0107471
A Modern Affair,tt0113839
Condition Red,tt0112712
Asfour Stah,tt0090665
A Thin Line Between Love and Hate,tt0117891
The Last Supper,tt0113613
Primal Fear,tt0117381
Rude,tt0114305
Carried Away,tt0115837
All Dogs Go to Heaven 2,tt0115509
Land and Freedom,tt0114671
Denise Calls Up,tt0112844
Theodore Rex,tt0114658
A Family Thing,tt0116275
Frisk,tt0113122
Sgt. Bilko,tt0117608
Jack & Sarah,tt0113448
Girl 6,tt0116414
Diabolique,tt0116095
Un indien dans la ville,tt0111543
Roula - Dunkle Geheimnisse,tt0117517
Peanuts – Die Bank zahlt alles,tt0117312
Happy Weekend,tt0116485
Nelly & Monsieur Arnaud,tt0113947
Courage Under Fire,tt0115956
Mission: Impossible,tt0117060
Á köldum klaka,tt0109028
Moll Flanders,tt0117071
Das Superweib,tt0117788
삼공일 삼공이,tt0112257
DragonHeart,tt0116136
Und keiner weint mir nach,tt0118026
My Mother's Courage,tt0117117
Eddie,tt0116168
Yankee Zulu,tt0111787
Billy's Holiday,tt0112509
Plein soleil,tt0054189
August,tt0115591
James and the Giant Peach,tt0116683
Fear,tt0116287
Kids in the Hall: Brain Candy,tt0116768
Faithful,tt0116269
Podzemlje,tt0114787
Lust och fägring stor,tt0113720
Bloodsport II,tt0112536
পথের পাঁচালী,tt0048473
অপুর সংসার,tt0052572
Mystery Science Theater 3000: The Movie,tt0117128
Tarantella,tt0114616
Space Jam,tt0117705
Barbarella,tt0062711
Hostile Intentions,tt0110061
They Bite,tt0140614
Some Folks Call It a Sling Blade,tt0108181
The Run of the Country,tt0114307
"Alphaville, une étrange aventure de Lemmy Caution",tt0058898
Coup de torchon,tt0082206
Tigrero: A Film That Was Never Made,tt0111430
L'oeil de Vichy,tt0107727
Windows,tt0081759
It's My Party,tt0113443
Country Life,tt0109491
Operation Dumbo Drop,tt0114048
Das Versprechen,tt0111613
Mrs. Winterbourne,tt0117104
Solo,tt0117688
Etz Hadomim Tafus,tt0109751
The Substitute,tt0117774
True Crime,tt0114736
Butterfly Kiss,tt0112604
Feeling Minnesota,tt0116289
Delta of Venus,tt0109593
To Cross the Rubicon,tt0103095
Angus,tt0112368
Daens,tt0104046
Faces,tt0062952
Boys,tt0115742
The Quest,tt0117420
Cosi,tt0115951
Sunset Park,tt0117784
Mulholland Falls,tt0117107
The Truth About Cats & Dogs,tt0117979
Oliver & Company,tt0095776
Celtic Pride,tt0115851
Flipper,tt0116322
Captives,tt0109374
Of Love and Shadows,tt0110712
Dead Man,tt0112817
Le Hussard sur le toit,tt0113362
Switchblade Sisters,tt0073778
Boca a boca,tt0112546
Les visiteurs,tt0108500
Multiplicity,tt0117108
"The Haunted World of Edward D. Wood, Jr.",tt0113270
Due Amici,tt0333373
The Craft,tt0115963
The Great White Hype,tt0116448
Last Dance,tt0116827
War Stories Our Mother Never Told Us,tt0114894
Cold Comfort Farm,tt0112701
"Institute Benjamenta, or This Dream People Call Human Life",tt0113429
Heaven's Prisoners,tt0116508
Original Gangstas,tt0117260
The Rock,tt0117500
Getting Away with Murder,tt0116405
Dellamorte Dellamore,tt0109592
Twister,tt0117998
Barb Wire,tt0115624
Le garçu,tt0113145
Honigmond,tt0116559
GHOST IN THE SHELL,tt0113568
Thinner,tt0117894
Spy Hard,tt0117723
Brothers in Trouble,tt0112586
A Close Shave,tt0112691
Force of Evil,tt0040366
The Stupids,tt0117768
The Arrival,tt0115571
The Man from Down Under,tt0031612
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012
Careful,tt0103926
Vermont Is for Lovers,tt0105737
A Month by the Lake,tt0113849
Gold Diggers: The Secret of Bear Mountain,tt0113188
Kim,tt0042644
Carmen Miranda: Bananas Is My Business,tt0109381
東邪西毒,tt0109688
Khomreh,tt0104606
Maya Lin: A Strong Clear Vision,tt0110480
Stalingrad,tt0108211
The Phantom,tt0117331
Striptease,tt0117765
The Last of the High Kings,tt0116833
Heavy,tt0113280
Jack,tt0116669
I Shot Andy Warhol,tt0116594
The Grass Harp,tt0113211
Tuđa Amerika,tt0114494
La vie est belle,tt0094265
Quartier Mozart,tt0105201
Touki-Bouki,tt0070820
Wend Kuuni,tt0084898
Histoires extraordinaires,tt0063715
Babyfever,tt0109191
Pharaoh's  Army,tt0114122
Trainspotting,tt0117951
Til There Was You,tt0118523
Independence Day,tt0116629
Stealing Beauty,tt0117737
The Fan,tt0116277
The Hunchback of Notre Dame,tt0116583
The Cable Guy,tt0115798
Kingpin,tt0116778
Eraser,tt0116213
The Gate of Heavenly Peace,tt0113147
The Nutty Professor,tt0117218
"Yo, la peor de todas",tt0100990
Un été inoubliable,tt0111546
"Hol volt, hol nem volt",tt0093199
En compagnie d'Antonin Artaud,tt0106810
Sibak,tt0111180
Somebody to Love,tt0111237
A Very Natural Thing,tt0072362
La vieille qui marchait dans la mer,tt0103207
Daylight,tt0116040
The Frighteners,tt0116365
Lone Star,tt0116905
Harriet the Spy,tt0116493
Phenomenon,tt0117333
Walking and Talking,tt0118113
She's the One,tt0117628
A Time to Kill,tt0117913
American Buffalo,tt0115530
Les Rendez-vous de Paris,tt0114266
Alaska,tt0115493
Fled,tt0116320
Kazaam,tt0116756
Bűvös vadász,tt0109356
Larger Than Life,tt0116823
A Boy Called Hate,tt0112568
Power 98,tt0114170
Two Deaths,tt0117999
A Very Brady Sequel,tt0118073
Stefano Quantestorie,tt0108220
La mort en ce jardin,tt0049521
Hedd Wyn,tt0104403
La Collectionneuse,tt0061495
Kaspar Hauser,tt0110246
Echte Kerle,tt0116164
Diebinnen,tt0112865
O Convento,tt0112716
The Adventures of Pinocchio,tt0115472
Joe's Apartment,tt0116707
The First Wives Club,tt0116313
Stonewall,tt0114550
Ransom,tt0117438
High School High,tt0116531
Phat Beach,tt0117332
Foxfire,tt0116353
Chain Reaction,tt0115857
Matilda,tt0117008
Emma,tt0116191
The Crow: City of Angels,tt0115986
House Arrest,tt0116571
Les Yeux sans visage,tt0053459
Bordello of Blood,tt0117826
Lotto Land,tt0113695
The Story of Xinghua,tt0108227
天國逆子,tt0111424
Flirt,tt0113080
The Big Squeeze,tt0115680
The Spitfire Grill,tt0117718
Escape from L.A.,tt0116225
Xích lô,tt0112767
Basquiat,tt0115632
Tin Cup,tt0117918
Dingo,tt0104109
楢山節考,tt0051980
Un week-end sur deux,tt0100840
Mille bolle blu,tt0107575
Wuya yu maque,tt0042054
The Godfather,tt0068646
Der bewegte Mann,tt0109255
警察故事 III：超級警察,tt0104558
Manny & Lo,tt0116985
Tsuma,tt0046468
Small Faces,tt0114474
Bound,tt0115736
Carpool,tt0115836
Death in Brunswick,tt0101692
Kansas City,tt0116745
Gone Fishin',tt0119214
Lover's Knot,tt0116934
愛情萬歲,tt0109066
Schatten der Engel,tt0075169
Killer: A Journal of Murder,tt0113542
Nothing to Lose,tt0110693
超级计划,tt0106544
Girls Town,tt0116418
Bye-Bye,tt0112607
The Relic,tt0120004
The Island of Dr. Moreau,tt0116654
First Kid,tt0116311
The Trigger Effect,tt0117965
Sweet Nothing,tt0114592
Bogus,tt0115725
Bulletproof,tt0115783
Talk of Angels,tt0120271
The Land Before Time III: The Time of the Great Giving,tt0113596
06,tt0109001
Baton Rouge,tt0094822
Halloween: The Curse of Michael Myers,tt0113253
Twelfth Night,tt0117991
Mother Night,tt0117093
Liebelei,tt0024252
Wenecja,tt1684935
Les Roseaux Sauvages,tt0111019
For Whom the Bell Tolls,tt0035896
The Philadelphia Story,tt0032904
Singin' in the Rain,tt0045152
An American in Paris,tt0043278
Funny Face,tt0050419
Breakfast at Tiffany's,tt0054698
Vertigo,tt0052357
Rear Window,tt0047396
It Happened One Night,tt0025316
Gaslight,tt0036855
The Gay Divorcee,tt0025164
North by Northwest,tt0053125
The Apartment,tt0053604
Some Like It Hot,tt0053291
Charade,tt0056923
Casablanca,tt0034583
The Maltese Falcon,tt0033870
My Fair Lady,tt0058385
Sabrina,tt0047437
Roman Holiday,tt0046250
The Little Princess,tt0031580
Meet Me in St. Louis,tt0037059
The Wizard of Oz,tt0032138
Gone with the Wind,tt0031381
My Favorite Year,tt0084370
Sunset Boulevard,tt0043014
Citizen Kane,tt0033467
2001: A Space Odyssey,tt0062622
Golden Earrings,tt0039428
All About Eve,tt0042192
The Women,tt0032143
Rebecca,tt0032976
Foreign Correspondent,tt0032484
Notorious,tt0038787
Spellbound,tt0038109
An Affair to Remember,tt0050105
To Catch a Thief,tt0048728
Father of the Bride,tt0042451
The Band Wagon,tt0045537
Ninotchka,tt0031725
Love in the Afternoon,tt0050658
Gigi,tt0051658
The Reluctant Debutante,tt0052126
The Adventures of Robin Hood,tt0029843
The Mark of Zorro,tt0032762
Laura,tt0037008
The Ghost and Mrs. Muir,tt0039420
Lost Horizon,tt0029162
Top Hat,tt0027125
To Be or Not to Be,tt0035446
My Man Godfrey,tt0028010
Giant,tt0049261
East of Eden,tt0048028
The Thin Man,tt0025878
His Girl Friday,tt0032599
Around the World in Eighty Days,tt0048960
It's a Wonderful Life,tt0038650
Mr. Smith Goes to Washington,tt0031679
Bringing Up Baby,tt0029947
Penny Serenade,tt0034012
The Scarlet Letter,tt0017350
Lady of Burlesque,tt0036094
Of Human Bondage,tt0025586
Angel on My Shoulder,tt0038300
Little Lord Fauntleroy,tt0027893
They Made Me a Criminal,tt0032022
The Inspector General,tt0041509
Angel and the Badman,tt0039152
The 39 Steps,tt0026029
A Walk in the Sun,tt0038235
The Outlaw,tt0036241
Night of the Living Dead,tt0063350
The African Queen,tt0043265
Beat the Devil,tt0046414
Cat on a Hot Tin Roof,tt0051459
The Last Time I Saw Paris,tt0047162
Meet John Doe,tt0033891
Algiers,tt0029855
Something to Sing About,tt0029588
A Farewell to Arms,tt0022879
Moonlight Murder,tt0027980
Nothing Personal,tt0114007
Huang jia shi jie,tt0093229
Dangerous Ground,tt0118927
Picnic,tt0048491
Madagascar Skin,tt0113730
The Pompatus of Love,tt0117357
Small Wonders,tt0117669
Fly Away Home,tt0116329
Bliss,tt0118742
Grace of My Heart,tt0116442
Schlafes Bruder,tt0114354
Maximum Risk,tt0117011
Michael Collins,tt0117039
The Rich Man's Wife,tt0117473
